Package                              Version
qt-gui-cpp                           2.7.5
qt-gui-py-common                     2.7.5
Qt.py                                1.4.8
quality-of-service-demo-py           0.33.7
rcl-interfaces                       2.0.3
rclpy                                7.1.6
rcutils                              6.7.4
requests                             2.31.0
resource-retriever                   3.4.4
rich                                 13.7.1
rmw-dds-common                       3.1.0
roman                                3.3
ros2action                           0.32.6
ros2bag                              0.26.9
ros2bag-mcap-cli                     0.26.9
ros2bag-sqlite3-cli                  0.26.9
ros2cli                              0.32.6
ros2component                        0.32.6
ros2doctor                           0.32.6
ros2interface                        0.32.6
ros2launch                           0.26.10
ros2lifecycle                        0.32.6
ros2multicast                        0.32.6
ros2node                             0.32.6
ros2param                            0.32.6
ros2pkg                              0.32.6
ros2run                              0.32.6
ros2service                          0.32.6
ros2topic                            0.32.6
rosbag2-interfaces                   0.26.9
rosbag2-py                           0.26.9
rosdep                               0.26.0
rosdep-modules                       0.26.0
rosdistro-modules                    1.0.1
rosgraph-msgs                        2.0.3
rosidl-adapter                       4.6.6
rosidl-cli                           4.6.6
rosidl-cmake                         4.6.6
rosidl-generator-c                   4.6.6
rosidl-generator-cpp                 4.6.6
rosidl-generator-py                  0.22.2
rosidl-generator-type-description    4.6.6
rosidl-parser                        4.6.6
rosidl-pycommon                      4.6.6
rosidl-runtime-py                    0.13.1
rosidl-typesupport-c                 3.2.2
rosidl-typesupport-cpp               3.2.2
rosidl-typesupport-fastrtps-c        3.6.2
rosidl-typesupport-fastrtps-cpp      3.6.2
rosidl-typesupport-introspection-c   4.6.6
rosidl-typesupport-introspection-cpp 4.6.6
rospkg-modules                       1.6.0
RPi.GPIO                             0.7.1a4
rpyutils                             0.4.2
rqt                                  1.6.2
rqt-action                           2.2.0
rqt-bag                              1.5.5
rqt-bag-plugins                      1.5.5
rqt-console                          2.2.1
rqt-graph                            1.5.5
rqt-gui                              1.6.2
rqt-gui-py                           1.6.2
rqt-msg                              1.5.1
rqt-plot                             1.4.4
rqt-publisher                        1.7.2
rqt-py-common                        1.6.2
rqt-py-console                       1.2.3
rqt-reconfigure                      1.6.2
rqt-service-caller                   1.2.1
rqt-shell                            1.2.2
rqt-srv                              1.2.2
rqt-topic                            1.7.4
SciPy                                1.11.4
semver                               2.10.2
sensor-msgs                          5.3.6
sensor-msgs-py                       5.3.6
sentry-sdk                           1.21.0
service-msgs                         2.0.3
setproctitle                         1.3.3
setuptools                           68.1.2
shape-msgs                           5.3.6
six                                  1.16.0
snowballstemmer                      2.2.0
soupsieve                            2.5
spidev                               3.6
sros2                                0.13.4
ssh-import-id                        5.11
statistics-msgs                      2.0.3
std-msgs                             5.3.6
std-srvs                             5.3.6
stereo-msgs                          5.3.6
structlog                            25.5.0
sympy                                1.12
systemd-python                       235
teleop-twist-keyboard                2.4.1
textparser                           0.24.0
tf2-geometry-msgs                    0.36.16
tf2-kdl                              0.36.16
tf2-msgs                             0.36.16
tf2-py                               0.36.16
tf2-ros-py                           0.36.16
tf2-sensor-msgs                      0.36.16
tf2-tools                            0.36.16
theora-image-transport               4.0.6
topic-monitor                        0.33.7
trajectory-msgs                      5.3.6
turtlesim                            1.8.3
type-description-interfaces          2.0.3
typeguard                            4.1.5
types-PySide2                        5.15.2.1.8
typing_extensions                    4.15.0
ubuntu-drivers-common                0.0.0
ubuntu-pro-client                    8001
ufoLib2                              0.16.0
ufw                                  0.36.2
unattended-upgrades                  0.1
unicodedata2                         15.1.0
unique-identifier-msgs               2.5.0
urllib3                              2.0.7
vcstool                              0.3.0
vision-msgs                          4.1.1
visualization-msgs                   5.3.6
wadllib                              1.3.6
webencodings                         0.5.1
websockets                           15.0.1
Werkzeug                             3.1.4
wheel                                0.42.0
wrapt                                1.15.0
xacro                                2.1.1
xdg                                  5
xkit                                 0.0.0
xmltodict                            1.0.2
yanthra-move                         1.0.0
zipp                                 1.0.0
action_msgs
action_tutorials_cpp
action_tutorials_interfaces
action_tutorials_py
actionlib_msgs
ament_cmake
ament_cmake_auto
ament_cmake_copyright
ament_cmake_core
ament_cmake_cppcheck
ament_cmake_cpplint
ament_cmake_export_definitions
ament_cmake_export_dependencies
ament_cmake_export_include_directories
ament_cmake_export_interfaces
ament_cmake_export_libraries
ament_cmake_export_link_flags
ament_cmake_export_targets
ament_cmake_flake8
ament_cmake_gen_version_h
ament_cmake_gmock
ament_cmake_gtest
ament_cmake_include_directories
ament_cmake_libraries
ament_cmake_lint_cmake
ament_cmake_pep257
ament_cmake_pytest
ament_cmake_python
ament_cmake_ros
ament_cmake_target_dependencies
ament_cmake_test
ament_cmake_uncrustify
ament_cmake_version
ament_cmake_xmllint
ament_copyright
ament_cppcheck
ament_cpplint
ament_flake8
ament_index_cpp
ament_index_python
ament_lint
ament_lint_auto
ament_lint_cmake
ament_lint_common
ament_package
ament_pep257
ament_uncrustify
ament_xmllint
angles
builtin_interfaces
camera_calibration
camera_calibration_parsers
camera_info_manager
class_loader
common_interfaces
common_utils
composition
composition_interfaces
compressed_depth_image_transport
compressed_image_transport
console_bridge_vendor
control_msgs
controller_interface
controller_manager
controller_manager_msgs
cotton_detection_ros2
cv_bridge
demo_nodes_cpp
demo_nodes_cpp_native
demo_nodes_py
depth_image_proc
depthai
depthai-ros
depthai_bridge
depthai_descriptions
depthai_examples
depthai_filters
depthai_ros_driver
depthai_ros_msgs
depthimage_to_laserscan
desktop
diagnostic_msgs
diagnostic_updater
domain_coordinator
dummy_map_server
dummy_robot_bringup
dummy_sensors
eigen3_cmake_module
eigen_stl_containers
example_interfaces
examples_rclcpp_minimal_action_client
examples_rclcpp_minimal_action_server
examples_rclcpp_minimal_client
examples_rclcpp_minimal_composition
examples_rclcpp_minimal_publisher
examples_rclcpp_minimal_service
examples_rclcpp_minimal_subscriber
examples_rclcpp_minimal_timer
examples_rclcpp_multithreaded_executor
examples_rclpy_executors
examples_rclpy_minimal_action_client
examples_rclpy_minimal_action_server
examples_rclpy_minimal_client
examples_rclpy_minimal_publisher
examples_rclpy_minimal_service
examples_rclpy_minimal_subscriber
fastrtps_cmake_module
ffmpeg_image_transport_msgs
foxglove_msgs
generate_parameter_library
generate_parameter_library_py
geometric_shapes
geometry2
geometry_msgs
gz_cmake_vendor
gz_math_vendor
gz_tools_vendor
gz_utils_vendor
hardware_interface
image_geometry
image_pipeline
image_proc
image_publisher
image_rotate
image_tools
image_transport
image_transport_plugins
image_view
interactive_markers
intra_process_demo
joint_limits
joint_state_publisher
joint_state_publisher_gui
joy
kdl_parser
keyboard_handler
laser_geometry
launch
launch_ros
launch_testing
launch_testing_ament_cmake
launch_testing_ros
launch_xml
launch_yaml
libcurl_vendor
liblz4_vendor
libstatistics_collector
libyaml_vendor
lifecycle
lifecycle_msgs
logging_demo
map_msgs
mcap_vendor
message_filters
motor_control_ros2
nav_msgs
orocos_kdl_vendor
osrf_pycommon
pal_statistics
pal_statistics_msgs
parameter_traits
pattern_finder
pcl_conversions
pcl_msgs
pendulum_control
pendulum_msgs
pluginlib
point_cloud_transport
pybind11_vendor
python_cmake_module
python_orocos_kdl_vendor
python_qt_binding
qt_dotgraph
qt_gui
qt_gui_cpp
qt_gui_py_common
quality_of_service_demo_cpp
quality_of_service_demo_py
random_numbers
rcl
rcl_action
rcl_interfaces
rcl_lifecycle
rcl_logging_interface
rcl_logging_spdlog
rcl_yaml_param_parser
rclcpp
rclcpp_action
rclcpp_components
rclcpp_lifecycle
rclpy
rcpputils
rcutils
realtime_tools
resource_retriever
rmw
rmw_dds_common
rmw_fastrtps_cpp
rmw_fastrtps_shared_cpp
rmw_implementation
rmw_implementation_cmake
robot_description
robot_state_publisher
ros2_control_test_assets
ros2action
ros2bag
ros2cli
ros2cli_common_extensions
ros2component
ros2doctor
ros2interface
ros2launch
ros2lifecycle
ros2multicast
ros2node
ros2param
ros2pkg
ros2run
ros2service
ros2topic
ros_base
ros_core
ros_environment
ros_workspace
rosbag2
rosbag2_compression
rosbag2_compression_zstd
rosbag2_cpp
rosbag2_interfaces
rosbag2_py
rosbag2_storage
rosbag2_storage_default_plugins
rosbag2_storage_mcap
